1946;3;11;-0.2
1947;3;11;-4
1948;3;11;7
1949;3;11;3.2
1950;3;11;4
1969;3;11;1.2
1970;3;11;-0.7
1971;3;11;-0.9
1972;3;11;0.4
1973;3;11;6
1974;3;11;5.3
1975;3;11;8.2
1976;3;11;-1.1
1977;3;11;9.4
1978;3;11;8.7
2020;3;11;8
2021;3;11;2
2022;3;11;7.25
2023;3;11;0.716667
1945;4;12;10.2
1946;4;12;9.8
1947;4;12;5.2
1948;4;12;9.6
1949;4;12;6
1950;4;12;8.2
1969;4;12;5.3
1970;4;12;3.6
1971;4;12;6.8
1972;4;12;12.5
1973;4;12;4.2
1974;4;12;5.6
1975;4;12;3.9
1976;4;12;11.2
1977;4;12;3.9
1978;4;12;4.3
2020;4;12;11
2021;4;12;6
2022;4;12;10.75
2023;4;12;11.7
1945;11;6;5.2
1946;11;6;5.9
1947;11;6;6.2
1948;11;6;7.4
1949;11;6;6.2
1950;11;6;4
1969;11;6;5
1970;11;6;-0.4
1971;11;6;9.2
1972;11;6;8.8
1973;11;6;6.7
1974;11;6;5.8
1975;11;6;7.2
1976;11;6;7.85
1977;11;6;9.3
2020;11;6;12
2021;11;6;10.45
2022;11;6;10.5167
